author	title
Plato	 The Republic 
Plato	 Theaetetus 
Plato	 Apology 
Plato	 Phaedrus 
Plato	 Euthyphro 
Aristotle	 Politics 
Aristotle	 The Categories 
Aristotle	 Poetics 
Aristotle	 Ethics 
Aristotle	 The Nicomachean Ethics 
George John Romanes	 Mind and Motion and Monism
Marcus Aurelius	 Meditations 
Lucretius	 On the Nature of Things 
Alexander Philip	 Essays Towards a Theory of Knowledge
Immanuel Kant	 The Critique of Pure Reason 
Immanuel Kant	 Critique of Practical Reason 
Ludwig Wittgenstein	 Tractatus Logico-Philosophicus 
Bertrand Russell	 The Problems of Philosophy
Bertrand Russell	 Mysticism and Logic and Other Essays
Bertrand Russell	 The Analysis of Mind
Bertrand Russell	 Proposed Roads to Freedom
Bertrand Russell	 Political Ideals
Peter Coffey	 Ontology or the Theory of Being
René Descartes	 Discourse on Method 
René Descartes	 Rules for the Direction of the Mind 
Blaise Pascal	 Pensées 
George Berkeley	 A Treatise Concerning the Principles of Human Knowledge
George Berkeley	 Three Dialogues Between Hylas and Philonous
Thomas Hobbes	 Leviathan
Georg Wilhelm Friedrich Hegel	 Phenomenology of Spirit 
Georg Wilhelm Friedrich Hegel	 The Philosophy of Right 
Georg Wilhelm Friedrich Hegel	 The Philosophy of History 
Arthur Schopenhauer	 The World as Will and Representation 
Søren Kierkegaard	 Either/Or 
Søren Kierkegaard	 Fear and Trembling 
Mary Wollstonecraft	 A Vindication of the Rights of Women
Karl Marx	 Das Kapital 
Friedrich Nietzsche	 Thus Spoke Zarathustra 
Friedrich Nietzsche	 On the Genealogy of Morals 
David Hume	 An Enquiry Concerning Human Understanding
David Hume	 A Treatise of Human Nature
Benedictus de Spinoza	 Improvement of the Understanding 
Benedictus de Spinoza	 Ethics 
John Locke	 An Essay Concerning Human Understanding
John Locke	 Two Treatises of Government
John Abercrombie	 The Philosophy of the Moral Feeling
Adam Smith	 The Wealth of Nations
Jean-Jacques Rousseau	 The Social Contract 
Jean-Jacques Rousseau	 Emile 
John Stuart Mill	 Auguste Comte and Positivism
John Stuart Mill	 On Liberty
John Stuart Mill	 Considerations on Representative Government
William James	 A Pluralistic Universe: Hibbert Lectures at Manchester College on the Present Situation in Philosophy
William James	 Essays in Radical Empiricism
Friedrich Nietzsche	 Beyond Good and Evil 
Friedrich Nietzsche	 The Antichrist 
Friedrich Nietzsche	 Thus Speaks Zarathustra 
Friedrich Nietzsche	 The Case Of Wagner,  Nietzsche Contra Wagner,  and Selected Aphorisms 
Friedrich Nietzsche	 Homer and Classical Philology 
John Stuart Mill	 Utilitarianism
George Santayana	 Some Turns of Thought in Modern Philosophy: Five Essays
Niccolò Machiavelli	 The Prince 
Friedrich Engels and Karl Marx	 The Communist Manifesto 
Nagarjuna	 Fundamental Verses on the Middle Way 
Confucius	 The Analects of Confucius 
Martin Heidegger	 Being and Time 
Jeremy Bentham	 The Principles of Morals and Legislation
Lenin	 State and Revolution 
Nishida Kitaro	 An Inquiry into the Good 
Nishida Kitaro	 Thinking and Experience 
Nishida Kitaro	 The Problem of Consciousness 
John Dewey	 Democracy and Education
R.G. Collingwood	 Religion and Philosophy
Henri Bergson	 Time and Free Will: An Essay on the Immediate Data of Consciousness 
Michel de Montaigne	 Literary and Philosophical Essays: French,  German and Italian
Henri Bergson	 Matter and Memory 
Henri Bergson	 Creative Evolution 
Henri Bergson	 Laughter: An Essay on the Meaning of the Comic 
Edmund Husserl	 Ideas 
Edmund Husserl	 Logical Investigations 
Gottfried Leibniz	 Discourse on Metaphysics 
Gottfried Leibniz	 Monadology 
Sir Francis Bacon	 Novum Organum
Thomas Aquinas	 Summa contra Gentiles 
Thomas Aquinas	 Summa Theologiae 
Hastings Rashdall	 Philosophy and Religion: Six Lectures Delivered at Cambridge
Dewitt H. Parker	 The Principles of Aesthetics
M.V. Couisin	 The True,  The Beautiful and The Good 
Lewis Carroll	 Symbolic Logic
Lewis Carroll	 The Game of Logic
William Minto	 Logic Inductive and Deductive
St. George William Joseph Stock	 Deductive Logic
Carveth Read	 Logic: Deductive and Inductive
David Starr Jordan	 The Philosophy of Despair
Surendranath Dasgupta	 A History of Indian Philosophy
Kaiten Nukariya	 The Religion of the Samurai: A Study of Zen Philosophy and Discipline in China and Japan
Roscoe Pound	 An Introduction to the Philosophy of Law
S.M. Dubnow	 Jewish History: an essay in the philosophy of history
G.E. Partridge	 The Psychology of Nations: A Contribution to the Philosophy of History